"","CR_1D_1","CR_7D_1","CR_14D_1","CS_1D_1","CS_7D_1","CS_14D_1","TR_1D_1","TR_7D_1","TR_14D_1","TS_1D_1","TS_7D_1","TS_14D_1"
"GRMZM2G030712",12,43,11,266,352,480,12,14,11,196,344,163
"GRMZM5G801949",1929,785,645,1965,1292,861,1010,665,1014,1729,1377,1023
"GRMZM2G085661",153,503,41,1763,929,221,71,237,48,2260,965,67
"GRMZM2G016462",229,426,806,17,67,139,243,621,812,15,87,80
"GRMZM2G037209",231,440,368,127,252,249,189,430,270,108,241,130
"GRMZM2G033413",766,488,510,206,159,227,526,722,693,183,156,163
"GRMZM5G841684",30,82,50,26,126,185,36,40,62,40,101,151
"GRMZM2G028110",100,251,368,100,41,24,100,210,172,61,63,13
"GRMZM2G371079",652,255,426,24,34,30,439,256,534,33,37,18
"GRMZM2G170101",153,267,430,106,167,252,114,309,439,75,162,206
"GRMZM2G590027",227,450,373,89,165,220,264,353,369,74,122,208
"GRMZM2G445057",162,273,520,836,1034,1932,199,283,648,867,1217,1459
"GRMZM2G055263",117,38,24,2,2,2,68,39,37,1,4,2
"GRMZM2G171622",1582,1194,1213,653,665,645,1077,1279,1411,468,764,534
"GRMZM2G327247",4,19,15,7,11,7,6,12,9,5,9,1
"GRMZM2G106730",436,270,278,305,343,283,258,346,428,282,318,213
"GRMZM2G134628",1128,787,646,560,621,305,687,898,865,459,629,311
"GRMZM2G079613",402,862,712,181,174,240,341,1048,1117,174,204,177
"GRMZM2G127524",659,397,450,30,9,1,435,366,871,31,34,0
"GRMZM2G004377",3826,1761,2364,2093,2420,1945,1896,2575,3839,1916,2705,1384
"GRMZM2G047626",1465,2373,1605,1041,791,392,1316,3213,2141,763,637,477
"GRMZM2G035131",1151,690,715,216,257,244,749,652,1015,186,287,218
"GRMZM2G061018",456,282,268,89,112,124,317,285,331,82,116,109
"GRMZM2G118919",34,10,6,0,0,0,16,7,6,1,0,0
