"","CR_1D_1","CR_7D_1","CR_14D_1","CS_1D_1","CS_7D_1","CS_14D_1","TR_1D_1","TR_7D_1","TR_14D_1","TS_1D_1","TS_7D_1","TS_14D_1"
"GRMZM2G132331",1718,723,713,604,280,247,1294,827,896,548,307,172
"GRMZM2G024806",1649,816,1098,774,732,681,1006,998,1352,664,771,539
"AC194970.5_FG001",1783,817,590,4685,4183,3937,1174,751,500,4601,4148,3008
"GRMZM2G090435",128,250,186,323,217,118,129,305,204,287,183,150
"GRMZM2G174834",103,51,31,85,90,29,64,54,36,65,69,9
"AC187157.4_FG001",129,27,21,3,1,1,70,25,28,7,6,1
"GRMZM2G086294",11,41,86,4,3,4,8,48,95,5,4,3
"GRMZM2G056629",20,103,195,9,6,5,10,139,230,5,6,2
"GRMZM2G046885",1,15,37,20,592,921,1,14,27,18,643,987
"GRMZM2G430780",3,18,10,202,205,174,8,6,10,159,174,189
"GRMZM2G421742",78,20,9,0,1,0,44,10,6,0,1,0
"AC214046.4_FG005",469,970,956,19,15,13,386,922,1158,8,8,24
"GRMZM2G128434",231,105,44,752,774,570,160,120,138,610,905,446
"GRMZM2G345622",240,638,453,1010,1655,1570,293,331,313,800,1481,1374
"AC215201.3_FG008",20,59,27,0,0,0,18,37,34,0,0,0
"GRMZM2G064590",430,153,111,1222,1126,334,228,174,116,1319,1141,233
"GRMZM2G129879",56,130,257,246,585,1553,69,105,191,190,483,1403
"GRMZM2G319875",17,2,1,0,0,0,13,4,1,0,0,0
"GRMZM2G165005",142,410,274,0,0,1,161,356,172,0,1,0
"GRMZM2G413482",13,43,56,18,17,14,18,40,61,12,21,9
"GRMZM2G030299",299,177,183,2346,1990,1952,207,197,232,2212,1960,2327
"GRMZM2G356439",14,63,50,1,1,4,24,42,66,2,3,3
"GRMZM2G060544",161,524,406,1,1,0,224,303,293,0,1,3
"GRMZM2G172605",43,104,105,175,200,187,49,77,109,157,155,187
"GRMZM2G078033",432,743,2282,2225,3270,8532,343,697,2495,2135,3556,6670
"GRMZM2G164036",775,328,396,856,505,284,698,300,466,793,431,214
"GRMZM2G041127",334,672,563,501,527,883,270,500,714,383,395,950
"GRMZM2G053916",2622,1827,1865,517,431,408,1853,2281,1986,465,432,307
"GRMZM2G133032",775,216,180,0,0,0,406,293,222,0,2,0
"GRMZM5G843555",341,712,681,54,111,123,445,515,368,70,98,154
"GRMZM2G088531",637,1686,7742,2,0,0,442,2279,9902,1,1,0
"GRMZM2G066049",7225,1935,1051,1,0,0,4726,1459,1075,0,1,0
"GRMZM2G172327",501,211,157,0,0,0,280,282,141,0,0,0
"GRMZM2G068557",9,23,20,17758,34103,15434,19,14,20,16013,34968,16404
"GRMZM6G602703",346,111,169,20,15,4,149,226,319,20,13,6
"GRMZM2G371063",3,22,22,95,76,204,2,9,46,75,105,220
"GRMZM2G168552",5551,9876,6380,50260,61509,80082,5744,11397,3006,38585,54546,96186
"GRMZM2G159171",2317,1224,1260,1156,1315,1066,1335,1438,1706,1300,1324,852
"GRMZM2G471142",113,53,41,4,1,1,84,48,47,2,0,0
"GRMZM2G160279",62,170,153,8,10,4,60,159,151,5,12,7
"GRMZM2G097788",425,1521,1000,1,0,0,581,2041,1282,0,0,0
"GRMZM2G068476",85,190,126,9,17,7,71,132,149,11,19,10
"GRMZM2G090505",243,84,68,97,31,0,145,126,128,114,49,0
"GRMZM2G145101",2864,1927,1139,4247,3128,1797,1817,2395,2038,3411,3470,1157
"GRMZM2G067575",1104,2134,2343,5812,5926,6171,1101,3497,2935,4736,5774,5443
"GRMZM2G105348",1599,665,246,341,217,79,905,1172,695,252,368,27
"GRMZM2G175995",71,282,212,108,159,150,100,176,38,55,147,129
"GRMZM2G010783",250,510,655,32,29,10,240,386,333,22,33,19
"GRMZM2G005886",268,152,122,2243,2149,1340,171,212,139,2218,2522,983
"GRMZM2G081322",147,302,342,16,22,6,116,372,315,18,24,5
"GRMZM2G113796",1323,876,816,1218,1268,1281,846,1042,1019,962,1278,845
"GRMZM2G348890",4,19,16,84,274,1017,5,23,9,64,254,655
"GRMZM5G845021",734,1964,3002,438,458,361,815,2059,2916,323,443,166
"GRMZM2G048962",751,201,161,1,0,0,320,261,231,2,1,0
"GRMZM2G095411",543,916,1228,1537,1888,1181,524,1298,929,1272,1818,1611
"GRMZM2G433767",1472,611,358,486,470,537,840,553,536,449,482,510
"GRMZM2G137046",645,350,117,1377,1490,975,528,364,133,1068,1770,805
"AC231745.1_FG003",9922,6442,8087,4302,3637,3031,7411,8055,8512,3283,3702,2714
"GRMZM2G108991",247,558,367,57,35,8,237,369,315,41,41,4
"GRMZM2G021433",137,62,62,2,2,0,69,57,92,2,5,0
"GRMZM2G110714",276,467,518,35,48,30,218,439,511,48,42,10
"AC190933.3_FG004",369,1085,272,16,46,50,310,665,94,10,48,28
"GRMZM2G422670",425,219,170,46,24,10,316,186,188,69,27,9
"GRMZM2G041308",7867,4174,4517,5,5,1,4979,5239,4335,2,3,0
"GRMZM2G085711",85,31,12,215,171,133,51,46,28,182,231,129
"GRMZM2G180419",31,136,195,109,179,338,59,130,156,101,172,263
"GRMZM2G454424",245,500,351,79,92,70,263,599,228,42,79,51
"GRMZM2G088689",3365,2015,1490,1722,1507,1242,2020,2353,1959,1259,1804,1005
"GRMZM2G001977",43,139,138,7,3,0,43,102,149,8,5,3
"GRMZM2G041866",766,347,266,13,6,0,706,356,189,28,2,0
"GRMZM2G477685",4539,7554,7420,1,0,0,4768,6884,7204,2,5,0
"GRMZM2G107101",4214,6858,9042,3570,6218,13096,3151,7812,14002,3300,6612,11397
"GRMZM2G065374",36,94,57,8003,6706,5097,41,63,64,6960,5792,4741
"GRMZM2G134903",229,127,136,100,95,90,133,192,205,100,111,69
"GRMZM2G157505",553,1303,1337,74,149,161,720,1519,1086,61,104,235
"GRMZM5G848603",1813,1317,821,2091,1874,2072,1212,1252,1048,1918,2153,1595
"GRMZM2G144581",125,271,230,396,232,55,100,195,227,385,271,46
"GRMZM2G137816",82,153,219,21871,18784,9278,89,138,109,17612,17468,4625
"GRMZM2G370026",30,96,220,48,59,93,35,83,186,41,67,71
"GRMZM6G175135",779,491,665,309,375,854,513,706,1144,303,355,692
"GRMZM2G427444",34,76,50,1232,1383,721,50,50,76,1236,1537,651
"GRMZM2G456690",215,97,98,144,181,116,127,192,161,140,195,95
"GRMZM2G081515",192,650,943,3,3,6,212,460,655,2,2,2
"GRMZM2G301885",880,391,446,2429,3322,910,478,329,647,2167,3308,1297
"GRMZM2G363545",2588,1731,1000,484,549,401,1645,1629,1403,452,582,433
"GRMZM2G038931",2665,4954,3022,102,165,53,2752,4662,3483,77,142,72
"GRMZM2G065800",53,97,88,12,18,14,52,89,88,10,21,12
"GRMZM2G366532",81,34,20,11,12,13,40,42,18,13,13,16
"GRMZM2G014022",13,48,87,44,51,89,21,41,47,28,43,76
"GRMZM2G108530",154,288,225,372,361,190,128,381,358,313,311,182
"GRMZM2G114140",28,75,86,57,94,32,20,50,64,53,104,17
"GRMZM5G860607",69,167,228,661,509,1116,39,96,270,459,575,1416
"GRMZM2G103546",14,56,36,13,43,56,25,49,47,10,47,72
"GRMZM2G024196",214,71,139,71,171,224,111,109,194,65,176,197
"GRMZM2G145041",753,576,117,1570,1278,518,548,545,151,1314,1401,378
"GRMZM2G419777",123,320,352,30,23,7,183,420,378,27,28,21
"GRMZM2G449950",137,258,419,1375,1623,1879,125,173,426,1126,1493,1772
"GRMZM2G087041",7,23,23,3851,3571,4302,13,19,19,3877,3256,4805
"GRMZM2G128564",1579,621,296,473,224,177,880,436,471,478,268,160
"GRMZM5G837869",477,336,230,1823,1856,1401,258,420,369,1883,2486,1293
"GRMZM2G310158",1278,492,177,2,5,2,787,482,186,5,4,5
"GRMZM2G078409",1042,1585,1448,1444,1667,1361,1066,1744,1587,1188,1700,973
"GRMZM2G111354",134,28,43,36,1,0,64,27,52,39,8,1
"GRMZM2G466309",74,27,20,208,107,19,35,20,21,217,153,30
"AC209835.4_FG004",394,754,626,258,353,331,359,640,737,238,446,258
"GRMZM2G493395",1437,357,111,151,697,615,720,206,54,146,709,286
"GRMZM2G008892",15,38,49,1153,991,956,22,32,56,923,950,840
"GRMZM2G412630",8,40,22,1,1,0,11,20,18,1,1,0
"GRMZM2G158647",151,435,227,4,5,1,165,258,151,3,0,3
"GRMZM2G119517",463,680,506,41,49,51,396,535,604,53,46,39
"GRMZM2G121151",26,54,32,2561,3065,2762,31,29,25,2094,2717,2812
"GRMZM2G166337",39,3,2,1,0,0,11,2,5,1,0,0
"GRMZM5G894582",279,577,474,988,683,206,233,445,402,896,666,101
"GRMZM2G158232",67,38,10,1556,996,769,73,39,9,1185,758,618
"GRMZM2G055834",596,1230,1349,190,155,27,615,1567,1494,219,164,35
"GRMZM2G324903",625,352,386,72,85,81,341,478,649,75,84,84
"GRMZM2G134941",161,332,486,3,1,0,161,275,381,2,0,0
"GRMZM2G701218",40,90,78,311,369,255,54,147,93,278,403,255
"GRMZM2G119219",985,2802,2228,1017,768,929,999,1672,1712,974,927,296
"GRMZM2G404126",432,693,641,106,142,145,353,474,511,107,143,84
"GRMZM2G033228",202,127,150,25,19,32,144,144,183,26,21,24
"GRMZM2G162537",103,418,462,78,153,110,107,475,516,72,202,85
"GRMZM2G024104",2779,1398,968,9199,1888,513,1605,1641,1215,5387,1575,469
"GRMZM2G425999",1158,1863,728,13,13,9,872,1927,780,11,17,6
"GRMZM2G321290",294,720,454,12,7,4,249,524,167,9,25,0
"GRMZM2G313020",30,73,108,17,10,7,19,96,126,17,22,6
"AC203957.3_FG004",428,716,499,322,320,437,389,578,598,217,314,315
"GRMZM2G018441",81,33,22,8224,6678,3834,38,29,6,6873,6620,4056
"GRMZM2G384755",175,81,35,52,56,22,125,69,83,49,74,15
"GRMZM2G016734",702,1086,1926,1456,2063,4410,650,1119,1835,1162,1904,3389
"GRMZM2G013970",1469,2743,2292,3042,2780,2448,1376,2655,2499,2073,2542,2627
"GRMZM2G371017",160,350,283,0,1,0,123,382,339,0,0,0
"GRMZM5G857701",213,50,47,23,18,11,135,64,39,25,24,17
"GRMZM2G043295",856,610,445,604,551,552,640,580,410,441,494,417
"GRMZM2G114523",1687,901,1010,12,14,5,1016,1257,819,12,13,9
"GRMZM2G104942",519,312,149,1088,1741,397,396,355,147,956,1836,639
"GRMZM2G129232",19,49,39,82,70,71,19,43,48,68,86,46
"GRMZM2G129399",29,65,43,9,4,0,34,59,32,7,3,1
"GRMZM2G050307",0,0,0,1060,6368,9131,2,2,1,1073,5185,6162
"GRMZM2G047677",180,400,372,6,2,10,233,263,289,3,3,3
"GRMZM2G111537",76,175,104,8,10,13,81,134,104,7,14,14
"GRMZM2G413711",4,49,17,4,0,0,9,30,8,4,0,0
"GRMZM2G423898",168,300,275,3,8,4,200,169,219,3,9,4
"GRMZM2G703783",67,136,86,152,179,126,68,136,112,124,174,140
"GRMZM2G139396",17,4,0,1,0,0,8,6,3,0,1,0
"GRMZM2G013957",550,883,692,2753,2242,1827,422,801,628,2293,1954,1418
"GRMZM2G126261",998,2171,1726,3550,3336,1622,840,1170,1475,2975,2919,1592
"GRMZM2G128212",0,9,3,66,68,18,2,2,1,67,64,36
"GRMZM2G083091",1289,555,415,122,198,177,1089,691,722,114,143,342
"GRMZM2G130053",423,176,120,10253,16422,8900,288,167,169,9219,15149,5106
"GRMZM2G113093",143,91,98,3295,2958,2711,97,110,152,3436,3454,2457
"GRMZM2G070442",16,51,27,1,0,0,12,39,10,0,0,0
"GRMZM2G378442",33,119,62,14,12,12,51,65,57,16,22,11
"GRMZM2G350020",215,44,55,4,4,2,87,48,84,5,3,1
"GRMZM2G163136",86,200,141,207,164,127,100,192,86,153,172,84
"GRMZM2G120408",1208,2116,1094,979,774,488,1090,2256,1443,710,714,356
"GRMZM2G406313",1535,944,1024,1,0,0,1458,1066,1656,0,0,0
"GRMZM2G374971",196,51,168,62,83,118,224,150,120,42,54,79
"GRMZM2G092945",201,454,43,4,4,0,214,382,100,7,5,2
"AC233788.2_FG002",231,431,335,75,67,42,271,465,302,67,73,69
"GRMZM2G037043",3,20,20,1,0,0,9,11,20,0,1,0
"GRMZM2G360681",1022,496,131,120,61,5,505,654,98,123,111,5
"GRMZM2G077858",288,512,395,192,141,61,274,606,413,122,111,23
"GRMZM2G162783",90,50,13,131,118,89,57,33,38,118,114,86
"GRMZM2G110286",6,30,37,432,494,901,3,20,69,308,626,631
"GRMZM2G091973",138,67,89,37,24,19,74,133,152,32,29,19
"AC225718.2_FG009",171,610,499,5,6,1,257,545,297,3,5,3
"GRMZM2G095725",5107,9537,7777,60,11,6,3834,10967,7312,69,19,2
"GRMZM2G033430",177,282,370,201,259,262,161,351,323,183,273,208
"GRMZM2G126007",38,14,24,0,0,0,24,24,22,0,1,0
"GRMZM5G824333",0,11,14,15,15,13,0,12,11,14,13,8
"GRMZM2G140170",226,63,40,2,1,5,97,62,64,1,1,3
"GRMZM2G145158",109,275,396,2,1,7,106,214,513,2,3,1
"GRMZM2G129083",47,119,114,147,212,245,51,78,98,135,216,178
"GRMZM2G028234",1142,1927,2141,211,186,165,981,1940,2218,168,184,91
"GRMZM2G005840",233,429,532,371,528,1179,211,321,389,294,553,1017
"GRMZM2G165255",226,400,410,967,1121,1069,205,383,348,765,983,888
"GRMZM2G118241",3003,1732,1831,2307,1617,1183,1704,1996,3045,2222,1638,1034
"GRMZM2G019356",174,484,878,38,39,60,203,304,651,23,30,39
"GRMZM5G840145",935,1553,1296,55,28,13,692,2024,1629,48,42,5
"GRMZM2G132693",30,97,95,0,0,0,58,77,70,0,0,0
"GRMZM2G384386",66,30,21,9,5,6,46,27,35,10,6,2
"GRMZM2G006964",201,96,183,64,87,271,226,72,116,42,152,124
"GRMZM2G017045",93,47,29,9019,8136,5983,65,52,27,7431,8198,4787
"GRMZM2G149422",1186,390,580,166,110,174,863,337,550,183,193,134
"GRMZM2G013045",147,268,334,2,10,8,125,373,316,1,19,6
"GRMZM2G354558",241,111,113,616,297,72,107,196,217,601,302,73
"GRMZM2G462046",8,33,23,15,25,15,8,31,12,9,27,13
"GRMZM2G393347",59,21,23,17,8,7,39,32,59,22,10,4
"GRMZM2G148772",1400,631,687,2992,3500,4768,676,964,1096,2231,3104,4038
"AC196202.3_FG007",298,174,140,22,0,0,213,175,249,21,0,0
"GRMZM2G048458",1730,1059,560,0,0,0,1566,648,888,0,1,0
"GRMZM2G007306",33,94,65,131,132,131,49,57,52,149,155,49
"GRMZM2G176840",29,59,26,5611,4981,4294,42,45,27,5725,4866,3691
"GRMZM2G130173",9190,16475,13007,11301,8151,4439,9353,17056,11033,9138,5917,4042
"GRMZM2G138523",1243,1758,1504,778,956,1054,1235,1790,1733,664,933,1029
"GRMZM2G053503",77,201,193,52,45,48,95,108,125,43,25,33
"GRMZM2G033236",264,67,442,101,68,359,172,85,435,105,61,374
"GRMZM2G002630",239,28,147,0,0,0,98,52,81,0,0,0
"GRMZM2G089241",322,135,48,13,8,8,205,178,166,23,9,1
"GRMZM5G866954",9376,6980,5304,533,591,529,5999,7620,8205,515,618,387
"GRMZM5G834286",104,232,166,31,71,80,125,254,221,45,71,63
"GRMZM2G113761",630,1584,1896,850,548,370,866,822,1496,831,690,296
"GRMZM2G015280",77,17,14,0,0,0,43,14,31,0,0,0
"GRMZM2G083810",587,278,85,438,165,30,344,332,87,369,206,48
"GRMZM2G136400",9,0,4,0,0,0,7,2,7,0,0,0
"GRMZM2G081955",1,4,1,7930,7132,7027,2,0,2,6890,6539,7580
"GRMZM2G104041",55,101,105,1481,1553,718,41,134,212,1192,1342,832
"GRMZM2G101221",191,568,455,51,17,8,347,298,213,22,21,1
"GRMZM2G078294",213,361,306,224,334,410,234,351,356,190,335,341
"GRMZM2G060896",1182,862,626,788,733,529,864,1149,972,690,818,598
"GRMZM2G038243",455,191,120,2629,1417,325,289,136,181,2756,1635,131
"GRMZM2G413044",942,1809,1550,267,355,91,792,1074,1572,240,456,38
"GRMZM2G153766",433,720,540,150,160,139,499,632,614,124,145,137
"GRMZM2G022915",181,92,34,495,644,516,106,59,37,445,521,629
"GRMZM2G472643",2581,3632,3282,907,1967,8673,2054,3536,3164,700,1952,6679
"GRMZM2G353444",53,164,241,2425,6857,26356,55,67,94,2441,6251,28908
"GRMZM5G827257",487,725,682,261,318,361,440,606,605,227,313,398
"GRMZM2G110922",1153,1896,1622,663,741,624,895,1993,2331,592,773,714
"GRMZM2G409635",110,214,252,17,13,14,133,211,255,7,10,5
"GRMZM2G330693",0,10,6,7,6,3,0,3,3,7,9,4
"GRMZM2G039988",5328,8499,11016,1352,1370,786,4680,11835,11202,1027,1327,787
"GRMZM2G175860",203,454,295,1121,1536,1883,163,223,216,867,1526,952
"GRMZM2G134049",23,74,51,11,15,30,22,51,62,11,20,21
"GRMZM2G063756",2508,4687,1523,8584,6729,3499,2508,2791,1832,7700,5871,5855
"GRMZM2G485898",4,20,11,25,18,21,2,17,6,15,26,16
"GRMZM2G037146",667,392,479,108,86,67,448,508,639,141,91,23
"GRMZM2G159768",36,10,85,352,454,1723,31,17,58,324,384,1249
"GRMZM2G005146",381,197,430,1409,2675,5559,263,252,417,1092,2218,4729
"GRMZM2G068984",1207,978,750,1914,1810,949,772,1162,1052,1849,1934,788
"GRMZM2G090568",512,260,202,5996,12573,11749,352,296,487,5272,12731,12721
"GRMZM2G181081",1352,1986,2213,413,518,1348,962,2198,3362,335,466,673
"GRMZM2G443495",877,632,398,208,174,102,468,534,435,192,167,83
"GRMZM2G047129",16,29,13,738,687,626,5,12,6,649,585,588
"GRMZM2G073982",17,2,2,0,0,0,15,2,3,0,0,0
"GRMZM2G113967",2504,1443,1424,964,725,1169,1682,985,2107,1081,1129,621
"GRMZM2G328438",164,83,61,250,203,238,153,74,82,192,193,162
"GRMZM2G169967",423,837,653,17,8,7,381,743,853,12,8,4
"GRMZM2G091124",112,256,214,868,2285,2209,120,221,386,833,2121,2351
